Rain ID,Date/Time,Nearest town,State,Latitude,Longitude,Severity confidence description,Intense precipitation amount,Intense precipitation period,Total precipitation,Total precipitation duration,Water course,Damage total,Insurance payout,Number of deaths,Number of injuries,Unnamed: 16
3657,2010-12-27 08:05:00,BARALABA,QLD,-24.182,149.8133,Bureau measurement of rainfall.,121.0,180.0,0,0,Dawson River,,,,,
3658,2010-12-27 08:50:00,RANNES,QLD,-24.0987,150.12,Bureau measurement of rainfall.,117.0,180.0,0,0,Don River,,,,,
3659,2010-12-29 04:55:00,COLLINSVILLE,QLD,-20.5526,147.8453,Bureau measurement of rainfall.,46.0,30.0,0,0,Lower Burdekin River,,,,,
3660,2010-12-29 08:50:00,ATHERTON,QLD,-17.266,145.4781,Bureau measurement of rainfall.,64.0,60.0,0,0,Lower Burdekin River,,,,,
3661,2010-12-09 08:17:00,COONAMBLE AIRPORT,NSW,-30.9651,148.3679,Bureau measurement of rainfall.,68.8,43.0,0,0,,,,,,
3662,2010-12-11 03:55:00,EVANS HEAD,NSW,-29.1151,153.4345,Other measurement of rainfall.,78.0,120.0,0,0,,,,,,
3663,2010-12-16 02:50:00,BOWEN MOUNTAIN,NSW,-33.5817,150.6179,Estimate of rainfall (eg. from filling of receptacles).,0.0,0.0,0,0,,,,,,
3664,2010-12-16 03:15:00,FAULCONBRIDGE,NSW,-33.6984,150.5346,"Flash flooding reported, but no quantitative data available.",12.0,0.0,0,0,,,,,,
3665,2010-12-16 03:00:00,PENRITH,NSW,-33.7484,150.7512,Bureau measurement of rainfall.,29.8,13.0,0,0,,,,,,
3666,2010-12-26 07:00:00,MANILDRA,NSW,-33.1817,148.6846,Other measurement of rainfall.,22.0,60.0,0,0,,,,,,
3667,2010-12-26 19:30:00,BOURKE,NSW,-30.0818,145.9512,Bureau measurement of rainfall.,24.4,13.0,0,0,,,,,,
3668,2010-12-03 01:45:00,BATHURST,NSW,-33.4167,149.5807,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3669,2010-12-03 01:45:00,BATHURST,NSW,-33.4167,149.5807,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3670,2010-12-03 01:45:00,BATHURST,NSW,-33.4167,149.5807,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3671,2011-01-03 01:45:00,BATHURST,NSW,-33.4167,149.5807,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3672,2011-01-05 02:48:00,LOOMBERAH,NSW,-31.2317,151.0178,Other measurement of rainfall.,51.0,60.0,0,0,,,,,,
3673,2011-01-03 05:50:00,IDA CREEK,QLD,-20.2833,148.1167,Bureau measurement of rainfall.,55.0,30.0,0,0,Don River,,,,,
3674,2011-01-05 01:40:00,TAROOM,QLD,-25.6404,149.7983,Bureau measurement of rainfall.,97.0,180.0,0,0,Dawson River,,,,,
3675,2011-01-08 20:15:00,VINCENTIA,NSW,-35.0651,150.6846,Bureau measurement of rainfall.,107.0,180.0,0,0,,,,,,
3676,2011-01-09 00:00:00,KOORAWATHA,NSW,-34.0484,148.5679,Bureau measurement of rainfall.,0.0,0.0,0,0,Bang Bang Creek,,,,,
3677,2011-01-11 00:00:00,BLACKVILLE,NSW,-31.6317,150.2345,Bureau measurement of rainfall.,24.0,15.0,0,0,,,,,,
3678,2011-01-13 08:00:00,MENINDEE,NSW,-32.3652,142.4013,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3679,2011-01-18 17:00:00,EVANS HEAD,NSW,-29.1151,153.4345,Other measurement of rainfall.,95.0,60.0,0,0,,,,,,
3680,2011-01-19 02:45:00,CORNDALE,NSW,-28.7231,153.3614,Bureau measurement of rainfall.,49.0,30.0,0,0,,,,,,
3681,2011-01-19 05:05:00,UTUNGUN,NSW,-30.7426,152.8275,Bureau measurement of rainfall.,54.0,30.0,0,0,,,,,,
3682,2011-01-19 16:00:00,KIAMA,NSW,-34.6651,150.8512,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3683,2011-01-18 06:00:00,GOODNA,QLD,-27.6087,152.8927,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,Brisbane River,,,,,
3684,2011-01-18 07:00:00,JIMBOOMBA,QLD,-27.8301,153.0313,Other measurement of rainfall.,52.0,60.0,0,0,Logan River,,,,,
3686,2011-01-18 07:00:00,TALLEGALLA,QLD,-27.5898,152.5547,Other measurement of rainfall.,45.0,30.0,0,0,Brisbane River,,,,,
3687,2011-01-18 06:00:00,TEEMBURRA CREEK,QLD,-21.2833,148.7333,Other measurement of rainfall.,100.0,60.0,0,0,Pioneer River,,,,,
3688,2011-01-18 04:15:00,ROCKHAMPTON,QLD,-23.3781,150.5136,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,Fitzroy River,,,,,
3689,2011-01-20 06:15:00,ARATULA,QLD,-27.9815,152.5486,Other measurement of rainfall.,35.0,10.0,0,0,Bremer River,,,,,
3690,2011-02-06 21:30:00,TOOWOOMBA,QLD,-27.5592,151.9536,Bureau measurement of rainfall.,64.0,60.0,0,0,Gowrie Creek/Condamine River,,,,,
3691,2011-02-06 20:30:00,TALLEGALLA,QLD,-27.5898,152.5547,Bureau measurement of rainfall.,67.0,60.0,0,0,Brisbane River,,,,,
3693,2011-02-07 07:00:00,WERIBONE,QLD,-27.204,148.8823,Bureau measurement of rainfall.,64.0,60.0,0,0,Condamine River,,,,,
3694,2011-02-08 00:00:00,CHARLEVILLE,QLD,-26.4018,146.2384,Other measurement of rainfall.,0.0,0.0,150,0,Bradley Gully/Warrego River,,,,,
3695,2011-02-08 09:00:00,WOODLEIGH,QLD,-27.0862,151.6753,Bureau measurement of rainfall.,81.0,60.0,150,0,Condamine River,,,,,
3696,2011-01-20 10:00:00,STORM KING DAM,QLD,-28.7333,151.9833,Bureau measurement of rainfall.,47.0,60.0,0,0,Condamine River,,,,,
3697,2011-01-20 10:00:00,STORM KING DAM,QLD,-28.7333,151.9833,Bureau measurement of rainfall.,47.0,60.0,0,0,Condamine River,,,,,
3698,2011-02-20 10:00:00,STORM KING DAM,QLD,-28.7333,151.9833,Bureau measurement of rainfall.,47.0,60.0,0,0,Condamine River,,,,,
3699,2011-02-21 06:00:00,WACOL,QLD,-27.5845,152.9205,Bureau measurement of rainfall.,0.0,0.0,0,0,Brisbane River,,,,,
3700,2011-02-21 00:00:00,ENOGGERA,QLD,-27.4279,152.9783,Bureau measurement of rainfall.,75.0,60.0,0,0,Kedron Brook/Enoggera Creek,,,,,
3701,2011-02-21 00:00:00,MITCHELTON,QLD,-27.4109,152.973,Bureau measurement of rainfall.,70.0,60.0,0,0,Kedron Brook/Enoggera Creek,,,,,
3702,2011-02-23 23:00:00,TULLY,QLD,-17.9312,145.9242,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,Tully River,,,,,
3703,2011-02-23 23:00:00,EURAMO,QLD,-18.0029,145.8972,Bureau measurement of rainfall.,0.0,0.0,158,24,Tully River,,,,,
3704,2011-02-24 23:00:00,DAINTREE,QLD,-16.2496,145.3214,Bureau measurement of rainfall.,0.0,0.0,243,24,Daintree River,,,,,
3705,2011-02-24 23:00:00,WHYANBEEL,QLD,-16.3485,145.3556,Bureau measurement of rainfall.,0.0,0.0,235,24,Daintree River,,,,,
3706,2011-02-24 23:00:00,CAIRNS CITY,QLD,-16.9218,145.7744,Bureau measurement of rainfall.,0.0,0.0,205,24,Barron River,,,,,
3707,2011-02-24 23:00:00,BABINDA,QLD,-17.3424,145.9236,Bureau measurement of rainfall.,0.0,0.0,184,24,Russel River,,,,,
3708,2011-01-22 04:57:00,BATHURST,NSW,-33.4167,149.5807,Other measurement of rainfall.,35.0,30.0,0,0,,,,,,
3711,2011-02-04 04:00:00,WENTWORTH,NSW,-34.0985,141.9013,Bureau measurement of rainfall.,51.8,60.0,0,0,,,,,,
3712,2011-02-04 04:00:00,TUGGERANONG,NSW,-35.4317,149.1512,Bureau measurement of rainfall.,20.0,12.0,0,0,,,,,,
3713,2011-02-04 08:15:00,MOAMA,NSW,-36.0985,144.7513,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3714,2010-10-12 05:35:00,MALDON,VIC,-36.9917,144.0639,Other measurement of rainfall.,29.5,20.0,0,0,,,,,,
3715,2010-10-12 05:00:00,ANGLESEA,VIC,-38.4111,144.1837,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3716,2010-11-13 08:15:00,BEECHWORTH POST OFFICE,VIC,-36.3611,146.6859,Estimate of rainfall (eg. from filling of receptacles).,0.0,0.0,0,0,,,,,,
3717,2010-11-26 04:20:00,BURWOOD EAST,VIC,-37.8536,145.1484,Other measurement of rainfall.,26.0,6.0,0,0,,,,,,
3718,2010-11-26 03:40:00,ESSENDON,VIC,-37.7531,144.908,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3719,2010-11-26 05:35:00,CRAIGIEBURN,VIC,-37.5959,144.9328,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3720,2010-11-26 08:05:00,KILMORE,VIC,-37.2988,144.95,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3721,2010-11-26 05:00:00,DIAMOND CREEK,VIC,-37.6725,145.154,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3722,2011-02-03 07:20:00,EASTVILLE,VIC,-36.9015,143.9795,Other measurement of rainfall.,11.0,10.0,0,0,,,,,,
3723,2011-02-03 07:30:00,KNOWSLEY,VIC,-36.8277,144.5848,Other measurement of rainfall.,30.0,20.0,0,0,,,,,,
3724,2011-02-03 10:00:00,ARCADIA,VIC,-36.5639,145.3316,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3725,2011-02-03 10:00:00,VIOLET TOWN,VIC,-36.6168,145.7341,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3726,2011-02-03 10:00:00,MOUNT BULLER,VIC,-37.1485,146.4482,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3727,2011-02-03 10:00:00,KELFEERA,VIC,-36.608,146.0809,Bureau measurement of rainfall.,62.1,60.0,0,0,,,,,,
3728,2011-02-16 05:40:00,GLEN FORBES,VIC,-38.4593,145.5444,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3729,2011-02-04 01:45:00,RUTHERGLEN,VIC,-36.0577,146.4615,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3730,2011-02-04 02:05:00,RUTHERGLEN,VIC,-36.0577,146.4615,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3731,2011-02-04 01:42:00,RUTHERGLEN,VIC,-36.0577,146.4615,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3732,2011-02-04 04:06:00,MILDURA,VIC,-34.1942,142.1559,Bureau measurement of rainfall.,0.0,0.0,106,2,,,,,,
3733,2011-02-04 05:00:00,WYNDHAM VALE,VIC,-37.8644,144.6013,Other measurement of rainfall.,0.0,0.0,106,7,,,,,,
3734,2011-02-04 06:10:00,MEREDITH,VIC,-37.8134,144.0461,Bureau measurement of rainfall.,0.0,0.0,100,2,,,,,,
3735,2011-02-04 07:45:00,LYNDHURST,VIC,-38.0629,145.2515,Bureau measurement of rainfall.,71.0,60.0,0,0,,,,,,
3736,2011-02-04 06:50:00,MENTONE,VIC,-37.9866,145.0676,Bureau measurement of rainfall.,0.0,0.0,29,0,,,,,,
3737,2011-02-04 06:50:00,DANDENONG,VIC,-37.9879,145.2122,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3738,2011-02-04 07:15:00,ASPENDALE,VIC,-38.0268,145.103,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3739,2011-02-04 08:30:00,CHADSTONE,VIC,-37.8842,145.0919,Bureau measurement of rainfall.,77.0,75.0,0,0,,,,,,
3740,2011-02-04 08:10:00,BENTLEIGH,VIC,-37.9238,145.0351,Estimate of rainfall (eg. from filling of receptacles).,72.0,90.0,0,0,,,,,,
3741,2011-02-04 08:00:00,DINGLEY,VIC,-37.9821,145.1269,Other measurement of rainfall.,115.0,100.0,0,0,,,,,,
3742,2011-02-04 11:00:00,YARRAMBAT,VIC,-37.6362,145.1334,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3743,2010-10-06 06:45:00,RUTHERGLEN,VIC,-36.0577,146.4615,Estimate of rainfall (eg. from filling of receptacles).,0.0,5.0,0,0,,,,,,
3744,2010-11-07 11:00:00,RUTHERGLEN,VIC,-36.0577,146.4615,Other measurement of rainfall.,0.0,15.0,0,0,,,,,,
3745,2010-11-12 07:05:00,CARRUM DOWNS,VIC,-38.0973,145.1764,Other measurement of rainfall.,0.0,0.0,0,0,,,,,,
3746,2010-11-12 08:05:00,CARRUM DOWNS,VIC,-38.0973,145.1764,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,,,,,
3747,2010-11-24 03:00:00,CASTERTON,VIC,-37.589,141.3987,Estimate of rainfall (eg. from filling of receptacles).,0.0,0.0,0,0,,,,,,
3748,2010-11-24 06:30:00,COLAC,VIC,-38.3408,143.5825,Other measurement of rainfall.,0.0,0.0,0,0,,,,,,
3749,2010-11-25 02:50:00,BEECHWORTH,VIC,-36.3624,146.6879,Other measurement of rainfall.,0.0,0.0,0,0,,,,,,
3750,2010-12-01 05:45:00,FERNY CREEK,VIC,-37.8798,145.3342,Other measurement of rainfall.,0.0,0.0,0,0,,,,,,
3751,2010-12-01 05:04:00,TULLAMARINE,VIC,-37.67,144.83,Bureau measurement of rainfall.,39.8,68.0,0,0,,,,,,
3752,2010-12-01 05:45:00,MELTON,VIC,-37.6838,144.5788,Other measurement of rainfall.,0.0,0.0,0,0,,,,,,
3753,2010-12-01 05:00:00,BENTLEIGH,VIC,-37.9238,145.0351,Other measurement of rainfall.,0.0,0.0,0,0,,,,,,
3754,2010-12-02 03:00:00,MILL PARK,VIC,-37.6728,145.061,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3755,2010-12-02 04:40:00,MYRTLEFORD,VIC,-36.559,146.724,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3756,2010-12-02 04:00:00,AVOCA,VIC,-37.0897,143.473,Estimate of rainfall (eg. from filling of receptacles).,0.0,0.0,0,0,,,,,,
3757,2010-12-03 05:55:00,Mortlake,VIC,-38.07,142.77,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3758,2010-12-03 07:00:00,Sale,VIC,-38.12,147.13,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3759,2010-12-03 03:00:00,SEVILLE,VIC,-37.7796,145.4556,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3760,2010-12-03 02:36:00,Coldstream,VIC,-37.72,145.41,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3761,2010-12-04 05:30:00,STAWELL,VIC,-37.0598,142.7771,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3762,2010-12-05 01:30:00,GLENLYON,VIC,-37.2979,144.2416,Estimate of rainfall (eg. from filling of receptacles).,0.0,0.0,0,0,,,,,,
3763,2010-12-05 01:55:00,DAYLESFORD,VIC,-37.346,144.1427,Estimate of rainfall (eg. from filling of receptacles).,0.0,0.0,0,0,,,,,,
3764,2010-12-05 05:15:00,DERGHOLM,VIC,-37.3722,141.2924,Other measurement of rainfall.,0.0,0.0,0,0,,,,,,
3765,2010-12-06 04:00:00,WARRACKNABEAL,VIC,-36.2537,142.3914,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,,,,,
3766,2010-12-17 07:00:00,PAKENHAM,VIC,-38.0773,145.4779,"Flash flooding reported, but no quantitative data available.",0.0,15.0,0,0,,,,,,
3767,2011-01-10 06:45:00,PAKENHAM,VIC,-38.0773,145.4779,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,,,,,
3768,2011-01-22 08:00:00,MYRTLEFORD,VIC,-36.559,146.724,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3769,2011-01-12 09:20:00,TRENTHAM,VIC,-37.4211,144.3248,Other measurement of rainfall.,0.0,0.0,0,0,,,,,,
3770,2011-02-04 06:40:00,ROCHESTER,VIC,-36.3613,144.6985,Other measurement of rainfall.,65.0,90.0,0,0,,,,,,
3771,2011-03-13 04:50:00,MILL PARK,VIC,-37.6728,145.061,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3772,2010-11-25 07:42:00,Seymour,VIC,-37.02,145.11,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3773,2010-12-03 00:00:00,MITTA MITTA,VIC,-36.7967,147.525,Other measurement of rainfall.,0.0,0.0,0,0,,,,,,
3774,2010-12-03 04:00:00,SIMPSON,VIC,-38.5708,143.3289,Other measurement of rainfall.,0.0,30.0,0,0,,,,,,
3775,2011-02-04 07:40:00,WYNDHAM VALE,VIC,-37.8644,144.6013,"Flash flooding reported, but no quantitative data available.",0.0,60.0,0,0,,,,,,
3776,2011-03-13 04:40:00,ELTHAM NORTH,VIC,-37.7003,145.1345,Other measurement of rainfall.,0.0,0.0,0,0,,,,,,
3777,2011-03-13 04:15:00,CROYDON,VIC,-37.7979,145.2792,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3779,2011-02-06 22:34:00,GUYRA,NSW,-30.2151,151.6678,Bureau measurement of rainfall.,50.0,60.0,0,0,,,,,,
3780,2011-02-12 02:56:00,OBERON,NSW,-33.6984,149.8679,Bureau measurement of rainfall.,35.0,30.0,0,0,,,,,,
3781,2011-02-12 04:50:00,BELLBROOK,NSW,-30.8151,152.5011,Bureau measurement of rainfall.,43.0,30.0,0,0,,,,,,
3782,2011-02-13 05:05:00,DARKWOOD,NSW,-30.4484,152.6511,Bureau measurement of rainfall.,46.0,30.0,0,0,,,,,,
3783,2011-02-13 05:10:00,BELLINGEN,NSW,-30.4484,152.9011,Bureau measurement of rainfall.,63.0,60.0,0,0,,,,,,
3784,2011-02-15 03:30:00,WILCANNIA,NSW,-31.5652,143.368,Bureau measurement of rainfall.,37.0,60.0,0,0,,,,,,
3785,2011-02-20 07:30:00,TOCAL,NSW,-32.6401,151.5928,Bureau measurement of rainfall.,35.0,60.0,0,0,,,,,,
3786,2011-02-21 00:00:00,EVANS HEAD,NSW,-29.1151,153.4345,Other measurement of rainfall.,37.0,20.0,0,0,,,,,,
3788,2011-02-27 05:25:00,NAMBUCCA HEADS,NSW,-30.6415,152.9906,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,,,,,
3789,2011-03-02 03:57:00,WALCHA,NSW,-30.9817,151.5845,Bureau measurement of rainfall.,17.0,10.0,0,0,,,,,,
3790,2011-01-06 03:35:00,LAKE TINAROO,QLD,-17.1957,145.6281,Bureau measurement of rainfall.,30.0,47.0,0,0,,,,,,
3791,2011-01-06 04:50:00,FLAGGY CREEK,QLD,-17.45,145.3667,Bureau measurement of rainfall.,60.0,89.0,0,0,,,,,,
3792,2011-01-06 20:30:00,TRAVESTON,QLD,-26.3198,152.7802,Other measurement of rainfall.,155.0,480.0,0,0,,,,,,
3793,2011-03-11 06:55:00,BIG HILL,NSW,-34.5484,150.0012,Bureau measurement of rainfall.,49.0,60.0,0,0,,,,,,
3794,2011-01-08 08:30:00,MOUNT ISA,QLD,-20.726,139.494,Bureau measurement of rainfall.,47.0,30.0,0,0,,,,,,
3795,2011-01-08 12:30:00,LAWN HILL NATIONAL PARK,QLD,-18.7696,138.3873,Bureau measurement of rainfall.,55.0,30.0,0,0,,,,,,
3796,2011-01-10 10:00:00,CHINCHILLA,QLD,-26.7384,150.6283,Other measurement of rainfall.,207.0,300.0,0,0,,,,,,
3797,2011-03-11 05:50:00,SUNNY CORNER,NSW,-33.3817,149.8846,Other measurement of rainfall.,43.0,30.0,76,0,,,,,,
3798,2011-03-13 05:15:00,Blackheath,NSW,-33.3817,149.8846,Other measurement of rainfall.,27.2,25.0,0,0,,,,,,
3799,2011-03-05 00:00:00,SAPPHIRE,QLD,-23.4612,147.7208,Other measurement of rainfall.,75.0,60.0,0,0,,,,,,
3800,2011-03-14 01:50:00,GEORGES PLAINS,NSW,-33.5151,149.5179,Bureau measurement of rainfall.,32.8,30.0,0,0,,,,,,
3801,2011-03-05 23:00:00,BEDOURIE,QLD,-24.3593,139.4693,Other measurement of rainfall.,319.0,1440.0,0,0,,,,,,
3802,2011-03-14 05:50:00,BARRINGTON TOPS,NSW,-31.892,151.555,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3803,2011-04-07 23:00:00,WEIPA AIRPORT,QLD,-12.6785,141.9247,Bureau measurement of rainfall.,132.0,180.0,0,0,,,,,,
3804,2011-03-15 05:34:00,bombala,NSW,-36.9151,149.2346,Bureau measurement of rainfall.,23.8,10.0,0,0,,,,,,
3805,2011-03-16 09:40:00,NABIAC,NSW,-32.0984,152.3845,Bureau measurement of rainfall.,38.0,30.0,0,0,,,,,,
3806,2011-03-16 09:05:00,KRAMBACH,NSW,-32.0484,152.2678,Bureau measurement of rainfall.,43.0,30.0,0,0,,,,,,
3807,2011-05-03 06:23:00,CEDAR CREEK,QLD,-27.8195,153.1641,Other measurement of rainfall.,28.0,10.0,0,0,,,,,,
3808,2011-03-17 06:00:00,PORT MACQUARIE,NSW,-31.4317,152.9178,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,,,,,,
3809,2011-03-20 23:00:00,KIAMA,NSW,-34.6651,150.8512,Bureau measurement of rainfall.,104.4,180.0,0,0,,,,,,
3810,2011-03-21 01:00:00,ALBION PARK,NSW,-34.5817,150.7762,Bureau measurement of rainfall.,70.6,60.0,0,0,,,,,,
3811,2011-03-20 23:00:00,ALBION PARK AERODROME,NSW,-34.5651,150.7846,Bureau measurement of rainfall.,126.8,180.0,0,0,,,,,,
3812,2011-03-21 01:00:00,ALBION PARK AERODROME,NSW,-34.5651,150.7846,Bureau measurement of rainfall.,65.0,60.0,0,0,,,,,,
3828,2011-05-30 00:00:00,ZETLAND,NSW,-33.9151,151.2096,Bureau measurement of rainfall.,0.0,0.0,0,0,,,,,,
3829,2010-09-14 00:55:00,WYONG,NSW,-33.2817,151.4178,Bureau measurement of rainfall.,54.0,60.0,0,0,,,,,,
3830,2010-09-13 23:45:00,ERINA,NSW,-33.4401,151.3928,Bureau measurement of rainfall.,54.0,60.0,0,0,,,,,,
3831,2010-10-31 03:35:00,KAHIBAH,NSW,-32.9651,151.7011,Other measurement of rainfall.,21.0,12.0,0,0,,,,,,
3832,2010-11-04 00:00:00,MOUNT SEAVIEW,NSW,-31.3651,152.2217,Other measurement of rainfall.,62.0,60.0,0,0,,,,,,
3867,2011-03-19 11:00:00,BERRY,NSW,-34.7817,150.7012,Bureau measurement of rainfall.,65.0,120.0,0,0,,,,,,
3868,2011-03-18 22:00:00,UPPER KANGAROO VALLEY,NSW,-34.6868,150.618,Bureau measurement of rainfall.,286.0,1320.0,0,0,,,,,,
3869,2006-02-12 02:38:00,NERANG,QLD,-27.9904,153.3358,Bureau measurement of rainfall.,56.0,30.0,0,0,,,,,,
3870,2006-02-12 02:41:00,NERANG,QLD,-27.9904,153.3358,Bureau measurement of rainfall.,78.0,60.0,0,0,,,,,,
3871,2006-02-12 03:06:00,NERANG,QLD,-27.9904,153.3358,Bureau measurement of rainfall.,115.0,120.0,0,0,,,,,,
3872,2006-02-12 04:06:00,NERANG,QLD,-27.9904,153.3358,Bureau measurement of rainfall.,116.0,180.0,0,0,,,,,,
3873,2006-02-12 06:54:00,GRANDCHESTER,QLD,-27.6595,152.4672,Bureau measurement of rainfall.,42.0,20.0,0,0,,,,,,
3874,2006-02-12 06:59:00,GRANDCHESTER,QLD,-27.6595,152.4672,Bureau measurement of rainfall.,56.0,30.0,0,0,,,,,,
3875,2006-02-12 07:12:00,GRANDCHESTER,QLD,-27.6595,152.4672,Bureau measurement of rainfall.,87.0,60.0,0,0,,,,,,
3876,2006-02-12 08:02:00,GRANDCHESTER,QLD,-27.6595,152.4672,Bureau measurement of rainfall.,107.0,120.0,0,0,,,,,,
3877,2006-04-07 06:04:00,MURRAY SPRING CREEK,QLD,-18.1,145.4833,Bureau measurement of rainfall.,37.0,20.0,0,0,,,,,,
3878,2006-04-07 06:04:00,MURRAY SPRING CREEK,QLD,-18.1,145.4833,Bureau measurement of rainfall.,46.0,30.0,0,0,,,,,,
3879,2006-04-09 15:56:00,TULLY,QLD,-17.9312,145.9242,Bureau measurement of rainfall.,255.0,360.0,0,0,,,,,,
3880,2006-04-09 11:52:00,INGHAM,QLD,-18.651,146.1572,Bureau measurement of rainfall.,148.0,180.0,0,0,,,,,,
3881,2006-04-09 12:02:00,HELENS HILL,QLD,-18.7874,146.125,Bureau measurement of rainfall.,148.0,180.0,0,0,,,,,,
3882,2006-04-04 16:10:00,STANTHORPE,QLD,-28.6548,151.935,Other measurement of rainfall.,46.0,40.0,0,0,,,,,,
3883,2006-04-04 16:38:00,BINNA BURRA,QLD,-28.1962,153.1891,Bureau measurement of rainfall.,20.0,6.0,0,0,,,,,,
3884,2006-04-06 04:00:00,NEWLANDS,QLD,-20.9207,147.8533,Bureau measurement of rainfall.,35.0,20.0,0,0,,,,,,
3885,2006-04-06 04:04:00,NEWLANDS,QLD,-20.9207,147.8533,Bureau measurement of rainfall.,49.0,30.0,0,0,,,,,,
3886,2006-04-06 04:25:00,NEWLANDS,QLD,-20.9207,147.8533,Bureau measurement of rainfall.,60.0,60.0,0,0,,,,,,
3887,2006-04-05 16:00:00,SPRINGSURE,QLD,-24.1162,148.0886,Bureau measurement of rainfall.,210.0,180.0,0,0,,,,,,
3922,2011-03-08 00:00:00,PALM VALLEY,NT,-24.0667,132.75,Bureau measurement of rainfall.,0.0,0.0,125,24,,,,,,
3923,2011-03-08 00:00:00,PALM VALLEY,NT,-24.0667,132.75,Bureau measurement of rainfall.,0.0,0.0,125,24,,,,,,
3924,2010-08-27 00:00:00,MOUNT STOW,NT,-13.9032,132.6405,Bureau measurement of rainfall.,68.0,60.0,86,24,,,,,,
3925,2010-08-27 00:00:00,MOUNT STOW,NT,-13.9032,132.6405,Bureau measurement of rainfall.,68.0,60.0,86,24,,,,,,
3926,2010-09-09 00:00:00,ALICE SPRINGS,NT,-23.6994,133.8807,Bureau measurement of rainfall.,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,
3927,2010-10-29 15:30:00,KULGERA,NT,-25.8431,133.2929,Bureau measurement of rainfall.,16.0,5.0,0,0,,0.0,0.0,0.0,0.0,
3928,2010-11-29 10:00:00,MARRARA,NT,-12.404,130.9104,Bureau measurement of rainfall.,80.0,30.0,120,24,,0.0,0.0,0.0,0.0,
3929,2010-11-29 10:00:00,Darwin River Ridge,NT,-12.8136,130.9875,Bureau measurement of rainfall.,0.0,0.0,110,24,,0.0,0.0,0.0,0.0,
3930,2010-12-08 15:00:00,BOND SPRINGS,NT,-23.5391,133.9216,Bureau measurement of rainfall.,0.0,0.0,18,24,,,,,,
3931,2011-02-21 15:00:00,JABIRU,NT,-12.6752,132.8337,Bureau measurement of rainfall.,94.4,90.0,190,24,,,,,,
3932,2011-03-04 00:00:00,HELEN SPRINGS,NT,-18.4344,133.8739,Bureau measurement of rainfall.,0.0,0.0,148,24,,,,,,
3933,2011-03-09 00:00:00,HERMANNSBURG,NT,-23.9449,132.7778,Bureau measurement of rainfall.,0.0,0.0,113,24,,,,,,
3934,2011-08-28 00:00:00,SARINA,QLD,-21.4226,149.2175,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,Plane Creek,,,,,
3935,2011-09-09 00:00:00,WARWICK,QLD,-28.2154,152.0353,"Flash flooding reported, but no quantitative data available.",0.0,0.0,0,0,Condamine River,,,,,
